Month,Average_Value,Min_Value,Max_Value,Std_Value,P01_Value,P99_Value
1,43606736.2905805,43606736.2905805,43606736.2905805,0.0,43606736.2905805,43606736.2905805
2,42953339.01662445,42413195.582715794,43492587.54207156,151552.49423723583,42602907.85454365,43309819.51882513
3,42297964.554940775,41444764.12214013,43005367.224295154,207819.41645287295,41825576.872826666,42774656.48717883
4,41639809.99009667,40713722.90467977,42648987.85253976,247335.86945510714,41057148.822966844,42207260.33345651
5,40979318.47454568,39909662.54132519,41972420.95356918,277143.07645832485,40332539.54600845,41604863.5987031
6,40316503.7620405,39106021.92231423,41383798.60428057,299544.8065170505,39608300.56018184,40995551.980408534
7,39651058.55498982,38325379.37661073,40817687.77915659,317741.5639953505,38891452.83179703,40379464.32781815
8,38981986.17154726,37610434.952775076,40098518.75514159,330973.63963298977,38184556.499417536,39726898.347160995
9,38313026.664495334,36959106.55801095,39482455.624353446,341006.3640097268,37494315.82474411,39077915.454665646
10,37642292.681557916,36296551.11701711,38885621.08761255,348225.6122016955,36794791.200029574,38406052.557591446
11,36968253.22477035,35537415.73034683,38123939.67862094,352867.4298897585,36137607.16488552,37745105.30520763
12,36290626.18076375,34996587.89709479,37469723.31246089,356461.6278201924,35440914.917143315,37073041.93148853
13,35611474.51163254,34259326.03099205,36780941.89551539,358170.85598779586,34738846.32479219,36411046.43226854
14,34927607.7845464,33420463.495347325,36164253.00475463,356968.1279310133,34054970.14496913,35709558.99147442
15,34243265.20124288,32792973.88267943,35369610.73743377,354933.31121813663,33353442.98391519,35010682.95329996
16,33555982.20143041,32212505.0535105,34667690.77875998,351632.207640943,32687439.451543096,34323596.87221979
17,32866722.031181596,31444775.796708927,33900020.258029714,348532.9563037882,32011691.277367976,33623606.942186974
18,32175172.8206461,30796447.885297474,33241915.006547466,343361.27933873737,31314050.114236068,32918946.195685066
19,31482804.427895986,30146265.318302717,32517982.882867515,338202.80105516,30643226.103946947,32208431.348501123
20,30787557.07335152,29512667.23082038,31769573.413520385,332077.27290900267,29961096.65844033,31509525.936138425
21,30087981.785773516,28786305.35866375,31029865.462737396,325952.3720687448,29279619.26699439,30781505.499951843
22,29386264.899009004,27920891.147822265,30322749.28575647,318478.0328354453,28589269.259845346,30061144.93727333
23,28682728.205436572,27436587.9642108,29585862.47902431,311080.01471653656,27901267.068282746,29347856.302822098
24,27976636.327301998,26798149.38978057,28903777.707299776,302941.84901958227,27228771.6845598,28625850.094536994
25,27266529.817633405,26055919.69431085,28175448.699196465,294423.2405400894,26530860.558868404,27892789.49722218
26,26555061.715050615,25292449.962730106,27428850.787580263,285375.7844130366,25839804.360073216,27151486.612738863
27,25841583.57243105,24728551.2528462,26690080.93015249,275852.4776311547,25137288.465164,26428822.595245704
28,25125644.049651098,24047788.269415226,25916190.503718145,266169.94133692863,24457138.8238048,25680874.09873033
29,24407026.46227181,23357173.144015677,25223922.68031775,255151.16643366474,23766779.3088572,24937249.22878838
30,23685189.06916148,22670436.22635447,24456272.627526328,244444.02750955118,23067686.92825192,24196711.59931446
31,22961814.819258098,21995183.693289913,23713418.820553433,232329.7930631434,22367824.357753523,23445836.346753467
32,22235861.88791172,21301156.123450007,22925790.45571792,221434.72802931408,21685611.419768576,22691419.45781136
33,21507140.675237834,20533962.3198361,22135715.184856534,210940.8748858005,20981640.126933053,21938187.69503987
34,20775435.21473933,19851207.532810677,21383524.133548617,200009.09917246035,20270928.162732795,21186408.91630007
35,20040911.8553379,19188450.386094958,20631601.1062208,188952.8896120855,19569661.25126523,20429198.421809863
36,19303785.812424608,18441076.241923988,19870839.62329763,178618.4344285658,18849932.607198022,19677345.797491584
37,18564422.40621017,17802222.772676006,19093796.815048225,167293.7659659907,18141371.882757504,18914168.116215833
38,17822685.01054011,17078689.23304053,18306424.095363583,156412.4940141891,17422470.62344017,18149769.712873947
39,17078067.464399092,16412689.399446301,17517200.9431519,146224.2766553351,16705995.465460999,17379628.65554776
40,16330822.351430506,15715908.875838192,16731606.69822632,135507.65206421408,15986804.942857368,16614256.663084256
41,15580802.652400216,14991767.14521324,15955140.8757905,124881.46705416158,15264612.035127064,15840992.527407506
42,14828371.267578512,14322536.836170947,15169124.638860198,114725.662847522,14533778.184748746,15067529.735794121
43,14073267.120445983,13608966.135804605,14371472.27162593,104959.14085426048,13802834.835785381,14291251.349492202
44,13315225.499229684,12906052.457973687,13593500.49210987,95073.9743739127,13070768.163967663,13509764.95354174
45,12554369.619951079,12174232.27461097,12796089.466663191,85917.28437005456,12332141.91408948,12729725.517693253
46,11790857.1472056,11457612.550452534,12011447.828263327,77140.17603218673,11590958.769804759,11946684.668816512
47,11024454.51995791,10736454.456178736,11234090.774128616,68378.4140268218,10847150.306786072,11163918.8285432
48,10255372.88265488,9991854.889709076,10433986.091475882,59974.4400543701,10100915.906141592,10377562.913129559
49,9483598.20322979,9250578.125240223,9637035.866080893,52164.059518855734,9349200.752118798,9590960.521672737
50,8708973.425210416,8510527.549687237,8841135.32598415,44726.050085458075,8591029.324651077,8800814.317071177
51,7931640.373965535,7771187.738656005,8047039.173398691,37715.521229671926,7832743.790941473,8008565.264151452
52,7151417.876542511,7015679.155467678,7244706.928673301,31334.15112458561,7069643.387735226,7215075.247934658
53,6368294.165903289,6261318.529720332,6442587.713180318,25375.94446519259,6302508.569894851,6420066.827833347
54,5582454.955888053,5495391.177117134,5639820.224824188,20008.2561687335,5529796.237797733,5623199.705375684
55,4793662.4508160455,4721838.664143374,4836332.10417623,15243.46048459715,4753737.652620808,4824485.472110546
56,4002052.669191928,3953327.4075052254,4032451.5209465055,11032.787181703125,3973184.5090056057,4024562.8284218484
57,3207533.033191453,3174419.7222812427,3228687.3764140867,7430.550970605889,3187895.8281294075,3222649.7898887624
58,2410072.4586434816,2389308.7725585396,2422590.168418907,4522.435572579296,2398198.09024228,2419197.9662298113
59,1609660.9113216586,1598881.9843719844,1615921.9411211149,2285.6544085604587,1603627.753132132,1614290.9190815105
60,806309.1493898804,802664.5425292929,808429.6881031683,770.4254551469791,804294.2105363704,807859.3524414692
