Month,Avg Portfolio Value (DFV),Expected Loss (EL),99% VaR (Accumulated Loss),Monthly_Loss_Factor_Corr
1,43606736.2905805,115740.20189695201,807792.4999447203,-0.7442971735695102
2,42953339.01662445,228174.0152791324,1141944.3338504336,-0.7515933475185411
3,42297964.554940775,338982.6534112161,1447824.013789648,-0.7278733952990721
4,41639809.99009667,448289.8016996459,1624353.6921256334,-0.7452672320527426
5,40979318.47454568,552784.0986354216,1840658.7735289067,-0.7391378770216787
6,40316503.7620405,657027.8702659669,2009110.693514421,-0.7418797968585821
7,39651058.55498982,759195.114224424,2183352.340852387,-0.7436919645466976
8,38981986.17154726,856084.6674164056,2336316.7577526914,-0.7438338652486882
9,38313026.664495334,952743.7613722687,2456495.9464884014,-0.74541794068435
10,37642292.681557916,1047966.6388387596,2557004.6297660694,-0.7494399655119212
11,36968253.22477035,1141572.850238639,2729832.418158232,-0.7443152773284935
12,36290626.18076375,1232734.222086283,2822308.922192916,-0.7281353745923388
13,35611474.51163254,1321960.4121208643,2968308.4025450465,-0.746898769146084
14,34927607.7845464,1406541.0937112942,3043591.3375287284,-0.740995593347528
15,34243265.20124288,1491212.9583894578,3214646.7097757743,-0.7437229709299015
16,33555982.20143041,1573275.8722377482,3331341.9627619055,-0.7315312781696722
17,32866722.031181596,1654353.727973337,3412919.395744168,-0.7325643991520481
18,32175172.8206461,1734225.319216467,3504756.151657573,-0.7353285119718672
19,31482804.427895986,1812827.7373783325,3593118.5019395053,-0.7521508012983944
20,30787557.07335152,1886821.2532818438,3675985.3737880727,-0.7576519976051527
21,30087981.785773516,1958869.809693238,3765213.0020858706,-0.7374936474084146
22,29386264.899009004,2028736.5298660523,3830116.8862676634,-0.7420088481855821
23,28682728.205436572,2097327.4150234214,3919618.289941412,-0.7454622232980593
24,27976636.327301998,2164636.9621145036,3995870.4881976563,-0.7391776109371536
25,27266529.817633405,2227714.090397002,4033451.4852609006,-0.7402126977409353
26,26555061.715050615,2289186.55102156,4122135.881868902,-0.730843199933331
27,25841583.57243105,2350581.5830179495,4166966.527772531,-0.7400633051391785
28,25125644.049651098,2408995.385443898,4250330.859734546,-0.7281644721380676
29,24407026.46227181,2465450.581829703,4330077.571748282,-0.7451878917199928
30,23685189.06916148,2519843.152853681,4372007.304947073,-0.7407774298313271
31,22961814.819258098,2572824.065779906,4428507.448568134,-0.7431459314867493
32,22235861.88791172,2623408.5671685007,4477259.868512189,-0.7447259812868031
33,21507140.675237834,2673387.5366737144,4546418.862616956,-0.7397645517826044
34,20775435.21473933,2720324.747444454,4603887.889018938,-0.7405594153359685
35,20040911.8553379,2766155.0613975152,4624779.549381245,-0.732428070068883
36,19303785.812424608,2809035.2284464627,4653398.186351886,-0.7350676473163501
37,18564422.40621017,2850371.9987407485,4709154.5779290255,-0.7296332601455604
38,17822685.01054011,2890956.689717587,4741047.3036551485,-0.7469078935375808
39,17078067.464399092,2928693.1421112604,4779463.391463071,-0.7275191498536329
40,16330822.351430506,2964965.2798969084,4823660.286376107,-0.738294003398599
41,15580802.652400216,2998602.99576687,4852329.2363241045,-0.7309447863449048
42,14828371.267578512,3032009.101327966,4903098.32160318,-0.7261680402379449
43,14073267.120445983,3063795.2614199053,4948062.8057791935,-0.7243801735681451
44,13315225.499229684,3092923.758521019,4987715.815519745,-0.7392353973283416
45,12554369.619951079,3120350.676152598,5027721.2967102695,-0.7344462170279551
46,11790857.1472056,3145560.0586397112,5038117.431869371,-0.7295436898591328
47,11024454.51995791,3168667.7441609898,5047545.254820572,-0.7452850395717329
48,10255372.88265488,3190429.3958102674,5068057.725191781,-0.7468148783512827
49,9483598.20322979,3210910.6147966236,5089215.496391319,-0.7299032936311614
50,8708973.425210416,3229014.9338648114,5117242.919825843,-0.7392267082864328
51,7931640.373965535,3245466.461394179,5123000.664601875,-0.7379444265452386
52,7151417.876542511,3260142.6288669677,5139887.869079645,-0.738736462282192
53,6368294.165903289,3273009.670469354,5141609.52409155,-0.7201769216532948
54,5582454.955888053,3284361.1522580907,5159191.13410364,-0.7376036599336471
55,4793662.4508160455,3293646.601490007,5159231.516145413,-0.7156959695566333
56,4002052.669191928,3301597.5720960437,5163416.833371597,-0.7398387566960115
57,3207533.033191453,3307898.1050902023,5165078.069035832,-0.7363946423390149
58,2410072.4586434816,3312332.948855122,5173829.972275088,-0.7163343093033816
59,1609660.9113216586,3314946.38041005,5174590.832225705,-0.7332134862461401
60,806309.1493898804,3315834.6865305044,5174619.777596064,-0.7354844117338878
