Month,Expected_Add_Funding_Cost,99%_WC_Add_Funding_Cost
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.30353285520644485,0.0
14,1.5130898393729553,0.0
15,2.759684383381881,0.0
16,4.402954558035277,0.0
17,9.084052618906789,0.0
18,11.575112302504978,0.0
19,15.731936969895626,0.0
20,21.044336199281016,0.0
21,30.9441700318015,0.0
22,46.74114430354023,0.0
23,72.84679127169049,0.0
24,121.39806388695102,0.0
25,204.37652649087678,0.0
26,332.3340507093005,5755.328130084273
27,565.8168217156613,19321.13284012878
28,920.6332019370107,33518.48416979548
29,1418.9170462850796,48019.081200750275
30,2147.4116660790587,61219.339780893366
31,3205.7836338159764,75124.52279766616
32,4699.787915074504,88200.36023511081
33,6793.8870908940535,102167.01010159671
34,9568.797417802729,115182.10725206323
35,13131.126318771296,127502.40206443018
36,17626.972105252844,138429.6749141581
37,23184.33412335753,151341.41811234824
38,29946.957007679404,162872.63081217356
39,37695.346776253056,174844.6650085531
40,46473.789725116316,188015.0546709944
41,55985.79207052668,199363.0251329132
42,66252.47943370393,213816.14107957593
43,77014.1797440897,225585.51487446285
44,87990.70812231283,238280.5507604917
45,99121.2161249844,249573.20042992962
46,110209.22516191048,260163.0545010273
47,121218.11642520898,270321.56975280197
48,132174.77560847357,282032.1427620501
49,143072.21059238297,292819.6946840575
50,153814.65345912467,303914.98856656905
51,164457.85450989075,314078.21688179416
52,174994.3957908473,324829.35052595986
53,185421.2436467088,334701.59132578823
54,195759.43270999062,345289.9693601061
55,205967.77870940798,354906.0769694599
56,216103.17373738036,364827.904489796
57,226141.45200891877,374568.412365417
58,236065.76640468792,384889.469170288
59,245879.77949694413,394607.0995537371
60,255591.06512976185,404280.35950505047
